trade_id,trader_id,asset_id,trade_type,quantity,price,trade_date
1,81,8,SELL,849,1222.38,2023-01-14
2,937,2,SELL,846,426.17,2023-12-23
3,268,2,SELL,535,2100.84,2023-11-08
4,419,8,SELL,280,1423.5,2023-06-02
5,235,6,BUY,273,2249.72,2022-12-02
6,833,8,BUY,443,1949.87,2022-03-24
7,311,9,SELL,564,1870.75,2024-04-25
8,813,9,SELL,558,2205.96,2023-11-29
9,975,6,BUY,209,1073.07,2023-06-08
10,986,8,BUY,118,2902.43,2023-09-01
11,357,2,BUY,846,2809.32,2023-07-14
12,213,8,SELL,699,2154.86,2022-08-25
13,574,3,SELL,591,367.88,2023-12-12
14,49,1,SELL,19,2443.06,2023-02-23
15,127,7,SELL,639,977.74,2023-10-30
16,223,1,SELL,325,412.57,2022-08-03
17,921,1,SELL,273,2018.3,2022-03-10
18,279,1,SELL,353,2323.16,2023-03-29
19,408,4,SELL,103,2579.58,2023-07-29
20,505,4,SELL,134,368.09,2023-11-17
21,294,10,BUY,793,625.52,2022-07-07
22,796,6,BUY,175,2706.23,2024-01-20
23,277,10,BUY,757,672.88,2022-12-30
24,438,3,SELL,913,1779.69,2024-04-16
25,107,10,BUY,504,566.68,2023-11-12
26,658,6,SELL,801,414.77,2022-06-23
27,420,7,SELL,139,728.54,2022-04-14
28,611,1,BUY,673,692.45,2022-10-09
29,429,6,BUY,28,595.01,2023-08-30
30,375,10,BUY,106,300.41,2022-07-22
31,73,1,BUY,553,223.43,2022-09-08
32,949,7,SELL,827,956.1,2022-09-13
33,998,10,BUY,247,985.53,2024-06-13
34,634,5,SELL,133,2342.06,2022-01-07
35,30,10,SELL,597,2494.28,2024-02-03
36,188,4,SELL,286,459.51,2023-08-25
37,364,1,BUY,686,2379.98,2022-09-16
38,866,9,SELL,90,810.42,2024-04-13
39,800,7,SELL,56,1499.09,2024-01-04
40,451,2,SELL,771,266.96,2022-08-02
41,195,4,SELL,113,1200.85,2024-06-01
42,156,4,SELL,469,168.37,2022-12-25
43,172,8,SELL,501,30.35,2022-08-14
44,847,2,SELL,12,2797.62,2022-01-27
45,41,5,SELL,135,2397.75,2023-01-16
46,63,10,SELL,794,646.25,2022-12-31
47,23,8,BUY,684,858.83,2024-02-02
48,360,6,BUY,568,393.61,2022-08-29
49,75,4,BUY,951,460.53,2022-05-13
50,560,5,SELL,231,1750.9,2022-12-04
51,672,2,SELL,525,1733.18,2024-04-10
52,825,5,SELL,511,1695.61,2022-08-16
53,118,3,BUY,462,120.33,2022-09-03
54,612,3,BUY,921,2059.93,2022-04-22
55,380,7,BUY,849,86.9,2022-10-05
56,929,3,BUY,784,2971.71,2024-03-19
57,920,4,SELL,220,2493.97,2022-02-23
